epoch,accuracy,loss,val_accuracy,val_loss
0,0.6809759140014648,0.8026883602142334,0.7105262875556946,0.7221475839614868
1,0.7829658389091492,0.5446117520332336,0.7049861550331116,0.7410231828689575
2,0.8592871427536011,0.3557698130607605,0.6966758966445923,0.9090798497200012
3,0.9058328866958618,0.2371211051940918,0.68282550573349,1.192121982574463
4,0.929741382598877,0.17213892936706543,0.68282550573349,1.3948005437850952
5,0.9457781314849854,0.12982410192489624,0.6662049889564514,1.6361584663391113
6,0.9573656916618347,0.103208027780056,0.6653739809989929,1.823448896408081
7,0.965775191783905,0.08398526161909103,0.6529085636138916,2.0494983196258545
8,0.9707133173942566,0.07350310683250427,0.6606647968292236,2.205718517303467
9,0.9757003784179688,0.05925154313445091,0.6725761890411377,2.3736412525177
